1 2 3 4 5 6
0 1 2 3 4 5
2 3 4 5 6 7
9 7 6 5 4 3
0 2 4 6 9 7
1 3 5 7 9 0
6 5 4 3 2 1
7 6 5 4 3 2
9 0 1 2 3 4
5 4 3 2 1 0
1 2 3 4 5 6
0 1 2 3 4 5
2 3 4 5 6 7
9 7 6 5 4 3
0 2 4 6 9 7
1 3 5 7 9 0
6 5 4 3 2 1
7 6 5 4 3 2
9 0 1 2 3 4
5 4 3 2 1 0
1 2 3 4 5 6
0 1 2 3 4 5
2 3 4 5 6 7
9 7 6 5 4 3
0 2 4 6 9 7
1 3 5 7 9 0
6 5 4 3 2 1
7 6 5 4 3 2
9 0 1 2 3 4
5 4 3 2 1 0
1 2 3 4 5 6
0 1 2 3 4 5
2 3 4 5 6 7
9 7 6 5 4 3
0 2 4 6 9 7
1 3 5 7 9 0
6 5 4 3 2 1
7 6 5 4 3 2
9 0 1 2 3 4
5 4 3 2 1 0
1 2 3 4 5 6
0 1 2 3 4 5
2 3 4 5 6 7
9 7 6 5 4 3
0 2 4 6 9 7
1 3 5 7 9 0
6 5 4 3 2 1
7 6 5 4 3 2
9 0 1 2 3 4
1 2 3 4 5 8
1 2 3 4 5 6
0 1 2 3 4 5
2 3 4 5 6 7
9 7 6 5 4 3
0 2 4 6 9 7
1 3 5 7 9 0
6 5 4 3 2 1
7 6 5 4 3 2
9 0 1 2 3 4
5 4 3 2 1 0
1 2 3 4 5 6
0 1 2 3 4 5
2 3 4 5 6 7
9 7 6 5 4 3
0 2 4 6 9 7
1 3 5 7 9 0
6 5 4 3 2 1
7 6 5 4 3 2
9 0 1 2 3 4
5 4 3 2 1 0
1 2 3 4 5 6
0 1 2 3 4 5
2 3 4 5 6 7
9 7 6 5 4 3
0 2 4 6 9 7
1 3 5 7 9 0
6 5 4 3 2 1
7 6 5 4 3 2
9 0 1 2 3 4
5 4 3 2 1 0
1 2 3 4 5 6
0 1 2 3 4 5
2 3 4 5 6 7
9 7 6 5 4 3
0 2 4 6 9 7
1 3 5 7 9 0
6 5 4 3 2 1
7 6 5 4 3 2
9 0 1 2 3 4
5 4 3 2 1 0
